Files already downloaded and verified
Epoch	LearningRate	TrainLoss	TestLoss	TrainAcc.	TestAcc.	EndTime.
123	0.500000	1.116698	1.305963	67.716000	63.470000	03/06 01:52:57
124	0.500000	1.114895	1.364192	67.862000	62.870000	03/06 01:56:54
125	0.500000	1.126728	1.270639	67.352000	64.950000	03/06 02:00:51
126	0.500000	1.120406	1.198497	67.604000	66.100000	03/06 02:04:47
127	0.500000	1.105040	1.186852	68.082000	66.470000	03/06 02:08:43
128	0.500000	1.119482	1.216574	67.658000	65.410000	03/06 02:12:39
129	0.500000	1.112039	1.206875	67.826000	66.070000	03/06 02:16:36
130	0.500000	1.126541	1.264603	67.628000	64.690000	03/06 02:20:32
131	0.500000	1.129037	1.248885	67.246000	65.260000	03/06 02:24:28
132	0.500000	1.118400	1.288459	67.660000	64.430000	03/06 02:28:24
133	0.500000	1.124360	1.223448	67.530000	65.680000	03/06 02:32:20
134	0.500000	1.136015	1.443571	66.984000	62.680000	03/06 02:36:17
135	0.500000	1.120300	1.291343	67.672000	64.300000	03/06 02:40:15
136	0.500000	1.127851	1.305022	67.674000	64.290000	03/06 02:44:12
137	0.500000	1.143971	1.338688	66.856000	63.580000	03/06 02:48:09
138	0.500000	1.131811	1.306575	67.440000	63.580000	03/06 02:52:07
139	0.500000	1.120594	1.306707	67.554000	64.440000	03/06 02:56:03
140	0.500000	1.119237	1.206851	67.848000	66.360000	03/06 03:00:00
141	0.500000	1.121151	1.259389	67.836000	65.180000	03/06 03:03:57
142	0.500000	1.131432	1.366662	67.154000	63.460000	03/06 03:07:55
143	0.500000	1.121089	1.247606	67.786000	65.300000	03/06 03:11:52
144	0.500000	1.118683	1.241030	67.840000	65.810000	03/06 03:15:48
145	0.500000	1.125532	1.235790	67.334000	64.900000	03/06 03:19:46
146	0.500000	1.133132	1.275957	67.432000	64.440000	03/06 03:23:43
147	0.500000	1.113636	1.221583	67.858000	65.430000	03/06 03:27:40
148	0.500000	1.117233	1.352341	67.644000	62.880000	03/06 03:31:36
149	0.500000	1.132056	1.284256	67.266000	63.940000	03/06 03:35:33
150	0.500000	1.122790	1.354513	67.716000	63.400000	03/06 03:39:30
151	0.050000	0.729038	0.769085	78.262000	77.680000	03/06 03:43:26
152	0.050000	0.589870	0.722996	82.180000	78.880000	03/06 03:47:23
153	0.050000	0.541866	0.734607	83.446000	79.050000	03/06 03:51:20
154	0.050000	0.506758	0.705211	84.526000	79.390000	03/06 03:55:17
155	0.050000	0.483253	0.709789	85.012000	79.670000	03/06 03:59:13
156	0.050000	0.448528	0.715897	86.100000	80.020000	03/06 04:03:10
157	0.050000	0.442698	0.733797	86.202000	79.170000	03/06 04:07:07
158	0.050000	0.430459	0.711866	86.518000	79.830000	03/06 04:11:04
159	0.050000	0.407882	0.739993	87.168000	79.890000	03/06 04:15:00
160	0.050000	0.400851	0.744784	87.314000	79.460000	03/06 04:18:57
161	0.050000	0.390645	0.716916	87.940000	80.180000	03/06 04:22:53
162	0.050000	0.378246	0.732524	88.134000	80.360000	03/06 04:26:50
163	0.050000	0.376556	0.719790	88.054000	80.520000	03/06 04:30:47
164	0.050000	0.348542	0.736597	88.902000	79.930000	03/06 04:34:44
165	0.050000	0.373271	0.744196	88.286000	80.220000	03/06 04:38:40
166	0.050000	0.344385	0.748106	89.076000	79.950000	03/06 04:42:36
167	0.050000	0.346945	0.747192	89.100000	79.930000	03/06 04:46:32
168	0.050000	0.346588	0.754068	89.080000	79.800000	03/06 04:50:28
169	0.050000	0.355965	0.803579	88.790000	78.920000	03/06 04:54:24
170	0.050000	0.340396	0.762206	89.096000	79.800000	03/06 04:58:20
171	0.050000	0.345292	0.815790	89.084000	78.830000	03/06 05:02:16
172	0.050000	0.338569	0.758321	89.364000	79.870000	03/06 05:06:12
173	0.050000	0.352710	0.760737	88.990000	79.920000	03/06 05:10:08
174	0.050000	0.354720	0.773518	88.686000	79.240000	03/06 05:14:03
175	0.050000	0.337153	0.787471	89.286000	79.270000	03/06 05:18:00
176	0.050000	0.349048	0.755856	88.892000	79.170000	03/06 05:21:56
177	0.050000	0.326106	0.758357	89.516000	79.430000	03/06 05:25:53
